Name	AD
X	2.00
auto	1.07
Y	0.006
Y	0.01
Y	0.23
auto	1.43
X	2.11
X	2.65
auto	0.999
auto	0.8004
auto	0.6
auto	0.99
auto	1.07
auto	1.01
auto	1.18
X	1.98
X	1.77
X	2.02
X	2.15
Y	0.003
Y	0.019
Y	0.0007
Y	0.023
Y	0.3
X	1.56
X	1.97
X	1.78
X	2.0
X	2.11
auto	1.32
auto	0.56
auto	0.988
auto	0.888
auto	0.9
auto	1.02
auto	1.0
auto	1.16
auto	0.923
auto	0.81
auto	0.67
auto	0.9
auto	1.1
auto	1.0
auto	1.14
auto	1.32
auto	0.56
auto	0.988
auto	0.888
auto	0.9
auto	1.02
auto	1.0
auto	1.16
auto	0.923
auto	0.81
auto	0.67
auto	0.9
auto	1.1
auto	1.0
auto	1.14
X	1.56
X	1.98
X	1.77
X	2.02
X	2.15
auto	0.878
auto	0.999
auto	0.8004
auto	0.6
auto	0.99
auto	1.07
auto	1.01
auto	1.18
auto	0.999
auto	0.8004
auto	0.6
auto	0.99
auto	1.07
auto	1.01
auto	1.18
